x,y,value
0,0,9
0,1,12
0,2,10
0,3,7
0,4,6
0,5,6
0,6,7
0,7,7
0,8,7
0,9,5
0,10,5
0,11,6
0,12,7
0,13,7
0,14,6
0,15,6
0,16,7
0,17,7
0,18,7
0,19,6
0,20,6
0,21,6
0,22,6
0,23,6
0,24,6
0,25,6
0,26,6
0,27,7
0,28,6
0,29,6
0,30,6
0,31,7
0,32,6
0,33,7
0,34,6
0,35,8
0,36,7
0,37,7
0,38,7
0,39,7
0,40,7
0,41,8
0,42,8
0,43,8
0,44,7
0,45,7
0,46,8
0,47,8
0,48,8
0,49,8
0,50,8
0,51,7
0,52,7
0,53,8
0,54,7
0,55,8
0,56,8
0,57,8
0,58,7
0,59,6
0,60,8
0,61,12
0,62,14
0,63,13
0,64,14
0,65,12
0,66,15
0,67,12
0,68,11
0,69,11
0,70,9
0,71,11
0,72,11
0,73,11
0,74,11
0,75,10
0,76,10
0,77,11
0,78,10
0,79,10
0,80,11
0,81,8
0,82,7
0,83,10
0,84,12
0,85,10
0,86,8
0,87,13
0,88,17
0,89,12
0,90,9
0,91,9
0,92,11
0,93,10
0,94,8
0,95,7
0,96,8
0,97,8
0,98,8
0,99,7
0,100,10
0,101,10
0,102,17
0,103,18
0,104,13
0,105,14
0,106,12
0,107,11
0,108,12
0,109,13
0,110,10
0,111,14
0,112,16
0,113,14
0,114,16
0,115,13
0,116,10
0,117,11
0,118,12
0,119,12
0,120,10
0,121,8
0,122,8
0,123,11
0,124,14
0,125,12
0,126,14
0,127,11
0,128,10
0,129,12
0,130,10
0,131,12
0,132,12
0,133,11
0,134,10
0,135,7
0,136,8
0,137,12
0,138,13
0,139,10
0,140,6
0,141,7
0,142,8
0,143,10
0,144,11
0,145,10
0,146,10
0,147,10
0,148,11
0,149,10
0,150,10
0,151,12
0,152,14
0,153,14
0,154,15
0,155,13
0,156,14
0,157,15
0,158,13
0,159,12
0,160,13
0,161,14
0,162,15
0,163,16
0,164,18
0,165,20
0,166,19
0,167,12
0,168,12
0,169,14
0,170,16
0,171,18
0,172,20
0,173,22
0,174,21
0,175,18
0,176,13
0,177,12
0,178,16
0,179,18
0,180,16
0,181,17
0,182,14
0,183,10
0,184,10
0,185,10
0,186,11
0,187,12
0,188,13
0,189,15
0,190,15
0,191,12
0,192,10
0,193,15
0,194,14
