,long,lat,data
0,395265.0,1418375.0,0
27813,395265.0,1417105.0,0
28032,395265.0,1417095.0,0
28251,395265.0,1417085.0,0
28470,395265.0,1417075.0,0
28689,395265.0,1417065.0,0
28908,395265.0,1417055.0,0
29127,395265.0,1417045.0,0
29346,395265.0,1417035.0,0
29565,395265.0,1417025.0,0
27594,395265.0,1417115.0,0
29784,395265.0,1417015.0,0
30222,395265.0,1416995.0,0
30441,395265.0,1416985.0,0
30660,395265.0,1416975.0,0
30879,395265.0,1416965.0,0
31098,395265.0,1416955.0,0
31317,395265.0,1416945.0,0
31536,395265.0,1416935.0,0
31755,395265.0,1416925.0,0
31974,395265.0,1416915.0,0
30003,395265.0,1417005.0,0
27375,395265.0,1417125.0,0
27156,395265.0,1417135.0,0
26937,395265.0,1417145.0,0
22338,395265.0,1417355.0,0
22557,395265.0,1417345.0,0
22776,395265.0,1417335.0,0
22995,395265.0,1417325.0,0
23214,395265.0,1417315.0,0
23433,395265.0,1417305.0,0
23652,395265.0,1417295.0,0
23871,395265.0,1417285.0,0
24090,395265.0,1417275.0,0
24309,395265.0,1417265.0,0
24528,395265.0,1417255.0,0
24747,395265.0,1417245.0,0
24966,395265.0,1417235.0,0
25185,395265.0,1417225.0,0
25404,395265.0,1417215.0,0
25623,395265.0,1417205.0,0
25842,395265.0,1417195.0,0
26061,395265.0,1417185.0,0
26280,395265.0,1417175.0,0
26499,395265.0,1417165.0,0
26718,395265.0,1417155.0,0
32193,395265.0,1416905.0,0
22119,395265.0,1417365.0,0
32412,395265.0,1416895.0,0
32850,395265.0,1416875.0,0
38544,395265.0,1416615.0,0
38763,395265.0,1416605.0,0
38764,395275.0,1416605.0,0
38765,395285.0,1416605.0,0
38766,395295.0,1416605.0,0
38767,395305.0,1416605.0,0
38768,395315.0,1416605.0,0
38769,395325.0,1416605.0,0
38770,395335.0,1416605.0,0
38325,395265.0,1416625.0,0
38771,395345.0,1416605.0,0
38773,395365.0,1416605.0,0
38774,395375.0,1416605.0,0
38775,395385.0,1416605.0,0
38776,395395.0,1416605.0,0
38777,395405.0,1416605.0,0
38778,395415.0,1416605.0,0
38779,395425.0,1416605.0,0
38780,395435.0,1416605.0,0
38781,395445.0,1416605.0,0
38772,395355.0,1416605.0,0
38106,395265.0,1416635.0,0
37887,395265.0,1416645.0,0
37668,395265.0,1416655.0,0
33069,395265.0,1416865.0,0
33288,395265.0,1416855.0,0
33507,395265.0,1416845.0,0
33726,395265.0,1416835.0,0
33945,395265.0,1416825.0,0
34164,395265.0,1416815.0,0
34383,395265.0,1416805.0,0
34602,395265.0,1416795.0,0
34821,395265.0,1416785.0,0
35040,395265.0,1416775.0,0
35259,395265.0,1416765.0,0
35478,395265.0,1416755.0,0
35697,395265.0,1416745.0,0
35916,395265.0,1416735.0,0
36135,395265.0,1416725.0,0
36354,395265.0,1416715.0,0
36573,395265.0,1416705.0,0
36792,395265.0,1416695.0,0
37011,395265.0,1416685.0,0
37230,395265.0,1416675.0,0
37449,395265.0,1416665.0,0
32631,395265.0,1416885.0,0
21900,395265.0,1417375.0,0
21681,395265.0,1417385.0,0
21462,395265.0,1417395.0,0
6351,395265.0,1418085.0,0
6570,395265.0,1418075.0,0
6789,395265.0,1418065.0,0
7008,395265.0,1418055.0,0
7227,395265.0,1418045.0,0
7446,395265.0,1418035.0,0
7665,395265.0,1418025.0,0
7884,395265.0,1418015.0,0
8103,395265.0,1418005.0,0
6132,395265.0,1418095.0,0
8322,395265.0,1417995.0,0
8760,395265.0,1417975.0,0
8979,395265.0,1417965.0,0
9198,395265.0,1417955.0,0
9417,395265.0,1417945.0,0
9636,395265.0,1417935.0,0
9855,395265.0,1417925.0,0
10074,395265.0,1417915.0,0
10293,395265.0,1417905.0,0
10512,395265.0,1417895.0,0
8541,395265.0,1417985.0,0
5913,395265.0,1418105.0,0
5694,395265.0,1418115.0,0
5475,395265.0,1418125.0,0
876,395265.0,1418335.0,0
1095,395265.0,1418325.0,0
1314,395265.0,1418315.0,0
1533,395265.0,1418305.0,0
1752,395265.0,1418295.0,0
1971,395265.0,1418285.0,0
2190,395265.0,1418275.0,0
2409,395265.0,1418265.0,0
2628,395265.0,1418255.0,0
2847,395265.0,1418245.0,0
3066,395265.0,1418235.0,0
3285,395265.0,1418225.0,0
3504,395265.0,1418215.0,0
3723,395265.0,1418205.0,0
3942,395265.0,1418195.0,0
4161,395265.0,1418185.0,0
4380,395265.0,1418175.0,0
4599,395265.0,1418165.0,0
4818,395265.0,1418155.0,0
5037,395265.0,1418145.0,0
5256,395265.0,1418135.0,0
10731,395265.0,1417885.0,0
10950,395265.0,1417875.0,0
11169,395265.0,1417865.0,0
11388,395265.0,1417855.0,0
17082,395265.0,1417595.0,0
17301,395265.0,1417585.0,0
17520,395265.0,1417575.0,0
17739,395265.0,1417565.0,0
17958,395265.0,1417555.0,0
18177,395265.0,1417545.0,0
18396,395265.0,1417535.0,0
18615,395265.0,1417525.0,0
18834,395265.0,1417515.0,0
19053,395265.0,1417505.0,0
19272,395265.0,1417495.0,0
38980,397435.0,1416605.0,0
19491,395265.0,1417485.0,0
19710,395265.0,1417475.0,0
19929,395265.0,1417465.0,0
20148,395265.0,1417455.0,0
20367,395265.0,1417445.0,0
20586,395265.0,1417435.0,0
20805,395265.0,1417425.0,0
21024,395265.0,1417415.0,0
21243,395265.0,1417405.0,0
16863,395265.0,1417605.0,0
38782,395455.0,1416605.0,0
16644,395265.0,1417615.0,0
16206,395265.0,1417635.0,0
11607,395265.0,1417845.0,0
11826,395265.0,1417835.0,0
12045,395265.0,1417825.0,0
12264,395265.0,1417815.0,0
12483,395265.0,1417805.0,0
12702,395265.0,1417795.0,0
12921,395265.0,1417785.0,0
13140,395265.0,1417775.0,0
13359,395265.0,1417765.0,0
13578,395265.0,1417755.0,0
13797,395265.0,1417745.0,0
14016,395265.0,1417735.0,0
14235,395265.0,1417725.0,0
14454,395265.0,1417715.0,0
14673,395265.0,1417705.0,0
14892,395265.0,1417695.0,0
15111,395265.0,1417685.0,0
15330,395265.0,1417675.0,0
15549,395265.0,1417665.0,0
15768,395265.0,1417655.0,0
15987,395265.0,1417645.0,0
16425,395265.0,1417625.0,0
38783,395465.0,1416605.0,0
38784,395475.0,1416605.0,0
38785,395485.0,1416605.0,0
38910,396735.0,1416605.0,0
38911,396745.0,1416605.0,0
38912,396755.0,1416605.0,0
38913,396765.0,1416605.0,0
38914,396775.0,1416605.0,0
38915,396785.0,1416605.0,0
38916,396795.0,1416605.0,0
38917,396805.0,1416605.0,0
38918,396815.0,1416605.0,0
38909,396725.0,1416605.0,0
38919,396825.0,1416605.0,0
38921,396845.0,1416605.0,0
38922,396855.0,1416605.0,0
38923,396865.0,1416605.0,0
38924,396875.0,1416605.0,0
38925,396885.0,1416605.0,0
38926,396895.0,1416605.0,0
38927,396905.0,1416605.0,0
38928,396915.0,1416605.0,0
38929,396925.0,1416605.0,0
38920,396835.0,1416605.0,0
38908,396715.0,1416605.0,0
38907,396705.0,1416605.0,0
38906,396695.0,1416605.0,0
38885,396485.0,1416605.0,0
38886,396495.0,1416605.0,0
38887,396505.0,1416605.0,0
38888,396515.0,1416605.0,0
38889,396525.0,1416605.0,0
38890,396535.0,1416605.0,0
38891,396545.0,1416605.0,0
38892,396555.0,1416605.0,0
38893,396565.0,1416605.0,0
38894,396575.0,1416605.0,0
38895,396585.0,1416605.0,0
38896,396595.0,1416605.0,0
38897,396605.0,1416605.0,0
38898,396615.0,1416605.0,0
38899,396625.0,1416605.0,0
38900,396635.0,1416605.0,0
38901,396645.0,1416605.0,0
38902,396655.0,1416605.0,0
38903,396665.0,1416605.0,0
38904,396675.0,1416605.0,0
38905,396685.0,1416605.0,0
38930,396935.0,1416605.0,0
38931,396945.0,1416605.0,0
38932,396955.0,1416605.0,0
38933,396965.0,1416605.0,0
38959,397225.0,1416605.0,0
38960,397235.0,1416605.0,0
38961,397245.0,1416605.0,0
38962,397255.0,1416605.0,0
38963,397265.0,1416605.0,0
38964,397275.0,1416605.0,0
38965,397285.0,1416605.0,0
38966,397295.0,1416605.0,0
38967,397305.0,1416605.0,0
38968,397315.0,1416605.0,0
38969,397325.0,1416605.0,0
38970,397335.0,1416605.0,0
38971,397345.0,1416605.0,0
38972,397355.0,1416605.0,0
38973,397365.0,1416605.0,0
38974,397375.0,1416605.0,0
38975,397385.0,1416605.0,0
38976,397395.0,1416605.0,0
38977,397405.0,1416605.0,0
38978,397415.0,1416605.0,0
38979,397425.0,1416605.0,0
38958,397215.0,1416605.0,0
38884,396475.0,1416605.0,0
38957,397205.0,1416605.0,0
38955,397185.0,1416605.0,0
38934,396975.0,1416605.0,0
38935,396985.0,1416605.0,0
38936,396995.0,1416605.0,0
38937,397005.0,1416605.0,0
38938,397015.0,1416605.0,0
38939,397025.0,1416605.0,0
38940,397035.0,1416605.0,0
38941,397045.0,1416605.0,0
38942,397055.0,1416605.0,0
38943,397065.0,1416605.0,0
38944,397075.0,1416605.0,0
38945,397085.0,1416605.0,0
38946,397095.0,1416605.0,0
38947,397105.0,1416605.0,0
38948,397115.0,1416605.0,0
38949,397125.0,1416605.0,0
38950,397135.0,1416605.0,0
38951,397145.0,1416605.0,0
38952,397155.0,1416605.0,0
38953,397165.0,1416605.0,0
38954,397175.0,1416605.0,0
38956,397195.0,1416605.0,0
657,395265.0,1418345.0,0
38883,396465.0,1416605.0,0
38881,396445.0,1416605.0,0
38811,395745.0,1416605.0,0
38812,395755.0,1416605.0,0
38813,395765.0,1416605.0,0
38814,395775.0,1416605.0,0
38815,395785.0,1416605.0,0
38816,395795.0,1416605.0,0
38817,395805.0,1416605.0,0
38818,395815.0,1416605.0,0
38819,395825.0,1416605.0,0
38810,395735.0,1416605.0,0
38820,395835.0,1416605.0,0
38822,395855.0,1416605.0,0
38823,395865.0,1416605.0,0
38824,395875.0,1416605.0,0
38825,395885.0,1416605.0,0
38826,395895.0,1416605.0,0
38827,395905.0,1416605.0,0
38828,395915.0,1416605.0,0
38829,395925.0,1416605.0,0
38830,395935.0,1416605.0,0
38821,395845.0,1416605.0,0
38809,395725.0,1416605.0,0
38808,395715.0,1416605.0,0
38807,395705.0,1416605.0,0
38786,395495.0,1416605.0,0
38787,395505.0,1416605.0,0
38788,395515.0,1416605.0,0
38789,395525.0,1416605.0,0
38790,395535.0,1416605.0,0
38791,395545.0,1416605.0,0
38792,395555.0,1416605.0,0
38793,395565.0,1416605.0,0
38794,395575.0,1416605.0,0
38795,395585.0,1416605.0,0
38796,395595.0,1416605.0,0
38797,395605.0,1416605.0,0
38798,395615.0,1416605.0,0
38799,395625.0,1416605.0,0
38800,395635.0,1416605.0,0
38801,395645.0,1416605.0,0
38802,395655.0,1416605.0,0
38803,395665.0,1416605.0,0
38804,395675.0,1416605.0,0
38805,395685.0,1416605.0,0
38806,395695.0,1416605.0,0
38831,395945.0,1416605.0,0
38832,395955.0,1416605.0,0
38833,395965.0,1416605.0,0
38834,395975.0,1416605.0,0
38860,396235.0,1416605.0,0
38861,396245.0,1416605.0,0
38862,396255.0,1416605.0,0
38863,396265.0,1416605.0,0
38864,396275.0,1416605.0,0
38865,396285.0,1416605.0,0
38866,396295.0,1416605.0,0
38867,396305.0,1416605.0,0
38868,396315.0,1416605.0,0
38869,396325.0,1416605.0,0
38870,396335.0,1416605.0,0
38871,396345.0,1416605.0,0
38872,396355.0,1416605.0,0
38873,396365.0,1416605.0,0
38874,396375.0,1416605.0,0
38875,396385.0,1416605.0,0
38876,396395.0,1416605.0,0
38877,396405.0,1416605.0,0
38878,396415.0,1416605.0,0
38879,396425.0,1416605.0,0
38880,396435.0,1416605.0,0
38859,396225.0,1416605.0,0
38882,396455.0,1416605.0,0
38858,396215.0,1416605.0,0
38856,396195.0,1416605.0,0
38835,395985.0,1416605.0,0
38836,395995.0,1416605.0,0
38837,396005.0,1416605.0,0
38838,396015.0,1416605.0,0
38839,396025.0,1416605.0,0
38840,396035.0,1416605.0,0
38841,396045.0,1416605.0,0
38842,396055.0,1416605.0,0
38843,396065.0,1416605.0,0
38844,396075.0,1416605.0,0
38845,396085.0,1416605.0,0
38846,396095.0,1416605.0,0
38847,396105.0,1416605.0,0
38848,396115.0,1416605.0,0
38849,396125.0,1416605.0,0
38850,396135.0,1416605.0,0
38851,396145.0,1416605.0,0
38852,396155.0,1416605.0,0
38853,396165.0,1416605.0,0
38854,396175.0,1416605.0,0
38855,396185.0,1416605.0,0
38857,396205.0,1416605.0,0
438,395265.0,1418355.0,0
38981,397445.0,1416605.0,0
219,395265.0,1418365.0,0
24851,396305.0,1417245.0,5
29880,396225.0,1417015.0,5
29881,396235.0,1417015.0,5
29882,396245.0,1417015.0,5
29883,396255.0,1417015.0,5
24850,396295.0,1417245.0,5
29884,396265.0,1417015.0,5
29885,396275.0,1417015.0,5
29886,396285.0,1417015.0,5
26392,396385.0,1417175.0,5
29888,396305.0,1417015.0,5
29889,396315.0,1417015.0,5
29890,396325.0,1417015.0,5
24849,396285.0,1417245.0,5
24848,396275.0,1417245.0,5
24847,396265.0,1417245.0,5
29910,396525.0,1417015.0,5
29911,396535.0,1417015.0,5
24846,396255.0,1417245.0,5
24852,396315.0,1417245.0,5
29887,396295.0,1417015.0,5
24853,396325.0,1417245.0,5
24854,396335.0,1417245.0,5
25053,396135.0,1417235.0,5
25052,396125.0,1417235.0,5
25051,396115.0,1417235.0,5
25050,396105.0,1417235.0,5
25049,396095.0,1417235.0,5
25048,396085.0,1417235.0,5
25047,396075.0,1417235.0,5
25046,396065.0,1417235.0,5
25045,396055.0,1417235.0,5
24845,396245.0,1417245.0,5
25044,396045.0,1417235.0,5
25042,396025.0,1417235.0,5
24881,396605.0,1417245.0,5
24880,396595.0,1417245.0,5
24858,396375.0,1417245.0,5
24857,396365.0,1417245.0,5
29875,396175.0,1417015.0,5
24856,396355.0,1417245.0,5
24855,396345.0,1417245.0,5
29878,396205.0,1417015.0,5
25043,396035.0,1417235.0,5
24844,396235.0,1417245.0,5
