x,y,value
0,0,0
0,1,20
0,2,18
0,3,19
0,4,17
0,5,17
0,6,15
0,7,15
0,8,15
0,9,15
0,10,15
0,11,15
0,12,15
0,13,15
0,14,15
0,15,16
0,16,17
0,17,17
0,18,16
0,19,16
0,20,16
0,21,17
0,22,16
0,23,16
0,24,16
0,25,16
0,26,16
0,27,16
0,28,16
0,29,16
0,30,16
0,31,16
0,32,16
0,33,16
0,34,16
0,35,15
0,36,15
0,37,15
0,38,15
0,39,15
0,40,15
0,41,16
0,42,15
0,43,15
0,44,15
0,45,14
0,46,14
0,47,15
0,48,15
0,49,14
0,50,14
0,51,14
0,52,15
0,53,15
0,54,14
0,55,14
0,56,15
0,57,16
0,58,15
0,59,16
0,60,16
0,61,16
0,62,17
0,63,17
0,64,18
0,65,17
0,66,18
0,67,21
0,68,18
0,69,17
0,70,15
0,71,17
0,72,18
0,73,16
0,74,17
0,75,15
0,76,17
0,77,16
0,78,15
0,79,12
0,80,16
0,81,14
0,82,18
0,83,18
0,84,18
0,85,15
0,86,13
0,87,15
0,88,18
0,89,16
0,90,14
0,91,15
0,92,16
0,93,14
0,94,12
0,95,11
0,96,10
0,97,9
0,98,10
0,99,12
0,100,15
0,101,17
0,102,21
0,103,20
0,104,16
0,105,18
0,106,16
0,107,17
0,108,21
0,109,19
0,110,17
0,111,21
0,112,19
0,113,18
0,114,19
0,115,17
0,116,15
0,117,16
0,118,17
0,119,19
0,120,19
0,121,17
0,122,18
0,123,23
0,124,20
0,125,15
0,126,16
0,127,15
0,128,16
0,129,20
0,130,21
0,131,19
0,132,18
0,133,18
0,134,19
0,135,22
0,136,23
0,137,21
0,138,20
0,139,19
0,140,19
0,141,17
0,142,15
0,143,16
0,144,17
0,145,16
0,146,16
0,147,16
0,148,17
0,149,18
0,150,18
0,151,16
0,152,17
0,153,18
0,154,18
0,155,16
0,156,16
0,157,17
0,158,16
0,159,15
0,160,16
0,161,16
0,162,18
0,163,21
0,164,22
0,165,24
0,166,22
0,167,18
0,168,18
0,169,18
0,170,18
0,171,19
0,172,21
0,173,23
0,174,22
0,175,18
0,176,15
0,177,12
0,178,17
0,179,19
0,180,17
0,181,20
0,182,18
0,183,16
0,184,17
0,185,17
0,186,17
0,187,16
0,188,16
0,189,16
0,190,16
0,191,15
0,192,18
0,193,18
0,194,18
0,195,18
0,196,19
0,197,20
0,198,17
0,199,16
0,200,16
0,201,16
0,202,17
0,203,17
0,204,17
0,205,17
0,206,17
0,207,16
0,208,16
0,209,16
0,210,16
0,211,18
0,212,18
0,213,19
0,214,18
0,215,17
0,216,18
0,217,17
0,218,14
1,0,0
1,1,19
1,2,18
1,3,18
1,4,18
1,5,17
1,6,15
1,7,14
1,8,14
1,9,15
1,10,15
1,11,15
1,12,15
1,13,16
1,14,16
1,15,17
1,16,16
1,17,16
1,18,16
1,19,16
1,20,16
1,21,16
1,22,16
1,23,16
1,24,16
1,25,17
1,26,16
1,27,16
1,28,16
1,29,16
1,30,16
1,31,16
1,32,16
